NOTE,- multiple -,KPB,,NOTE,- multiple -,KPB
ITEMDESC,- multiple -,MPX,,ITEMDESC,- multiple -,SPX
,,,,,,
kodedealer,Sum of QTYSUPPLY,,,kodedealer,Sum of QTYSUPPLY,
A0010,140,,,A0010,23,
A0011,36,,,A0011,5,
A0012,106,,,A0012,12,
A0020,52,,,A0020,6,
A0021,99,,,A0021,12,
A0022,58,,,A0022,10,
A0030,41,,,A0030,2,
A0060,18,,,A0060,1,
A0070,0,,,A0070,0,
A0090,47,,,A0091,11,
A0091,198,,,A0100,11,
A0100,105,,,A0101,17,
A0101,136,,,A0102,2,
A0102,32,,,A0160,1,
A0160,55,,,A0200,27,
A0200,206,,,A0201,10,
A0201,57,,,A0230,8,
A0230,98,,,A0231,3,
A0231,33,,,A0450,11,
A0450,107,,,A0460,2,
A0460,45,,,A0500,13,
A0500,174,,,A1005,2,
A1001,3,,,A1006,1,
A1003,13,,,A1008,2,
A1005,11,,,A1010,2,
A1006,8,,,A1011,2,
A1007,5,,,A1015,1,
A1008,38,,,A1016,2,
A1010,24,,,A1022,2,
A1011,27,,,A1029,2,
A1015,13,,,A2001,1,
A1016,18,,,A2003,2,
A1022,33,,,A2004,1,
A1024,11,,,A2005,1,
A1025,0,,,A2006,1,
A1028,0,,,A2008,2,
A1029,12,,,A2009,5,
A2001,15,,,A2012,1,
A2003,21,,,A2014,1,
A2004,23,,,A2015,0,
A2005,31,,,A2016,3,
A2006,14,,,A2021,2,
A2008,12,,,A2710,0,
A2009,6,,,A3001,0,
A2010,6,,,A3002,1,
A2012,27,,,B0010,11,
A2014,5,,,B0020,71,
A2015,0,,,B0030,7,
A2016,35,,,B0150,30,
A2021,9,,,B0160,30,
A2022,18,,,B0170,20,
A2710,34,,,B0180,39,
A2780,11,,,B0181,61,
A3001,0,,,B0200,43,
A3002,4,,,B0210,12,
A3004,49,,,B0220,13,
B0010,63,,,B1002,1,
B0020,179,,,B1003,2,
B0030,29,,,B1005,1,
B0150,93,,,B1008,0,
B0160,166,,,B1009,0,
B0170,70,,,B1012,19,
B0180,129,,,B1013,1,
B0181,248,,,B1015,2,
B0200,113,,,B1018,6,
B0210,42,,,B1019,0,
B0220,71,,,B1021,6,
B1002,3,,,B1022,4,
B1003,6,,,B1250,77,
B1005,1,,,B1320,15,
B1008,1,,,B1350,6,
B1009,0,,,B1360,10,
B1012,45,,,B1480,15,
B1013,7,,,B2001,13,
B1015,9,,,B2002,0,
B1018,18,,,B2005,0,
B1019,0,,,B2006,3,
B1021,9,,,B2009,4,
B1022,10,,,B2015,10,
B1250,242,,,B3001,3,
B1320,109,,,B3004,12,
B1350,47,,,B3005,1,
B1360,61,,,B3006,8,
B1480,71,,,B3013,1,
B2001,75,,,B3014,5,
B2002,0,,,C0010,7,
B2005,0,,,C0020,13,
B2006,15,,,C0021,10,
B2009,16,,,C0022,4,
B2015,36,,,C0040,48,
B3001,5,,,C0041,35,
B3004,44,,,C0050,1,
B3005,15,,,C0060,40,
B3006,92,,,C0061,4,
B3013,8,,,C0070,38,
B3014,33,,,C0071,0,
C0010,105,,,C0080,1,
C0020,111,,,C0081,12,
C0021,95,,,C0090,8,
C0022,47,,,C0100,15,
C0040,164,,,C0160,14,
C0041,98,,,C0180,1,
C0050,48,,,C0220,0,
C0060,315,,,C0230,0,
C0061,75,,,C0510,12,
C0070,110,,,C0520,7,
C0071,0,,,C0521,1,
C0080,2,,,C0530,0,
C0081,83,,,C0540,2,
C0090,57,,,C0570,0,
C0100,219,,,C0620,1,
C0160,237,,,C1002,2,
C0180,56,,,C1004,1,
C0220,0,,,C1005,2,
C0230,0,,,C2002,12,
C0510,194,,,C2003,9,
C0520,59,,,C2004,1,
C0521,10,,,C2006,5,
C0530,0,,,C2007,3,
C0540,49,,,C2011,17,
C0620,65,,,C2013,6,
C1002,14,,,C2021,3,
C1004,7,,,C2023,2,
C1005,45,,,C2024,0,
C1013,13,,,C3001,1,
C2002,75,,,C3003,0,
C2003,57,,,C4001,2,
C2004,17,,,C4002,1,
C2006,83,,,C4006,0,
C2007,33,,,C4008,2,
C2010,21,,,C4011,0,
C2011,120,,,C4015,0,
C2013,42,,,C4016,1,
C2017,17,,,C4017,3,
C2021,17,,,C5005,0,
C2023,23,,,C5007,1,
C2024,0,,,C5011,3,
C3001,15,,,C5013,2,
C3003,1,,,C6004,5,
C3004,0,,,C6008,2,
C4001,17,,,C6013,0,
C4002,6,,,C6014,3,
C4003,15,,,C7001,2,
C4006,6,,,C7002,2,
C4008,30,,,C7005,7,
C4011,24,,,D0020,0,
C4015,0,,,D0040,8,
C4016,16,,,D0050,10,
C4017,20,,,D0070,16,
C4018,3,,,D0100,6,
C5005,5,,,D0110,0,
C5007,12,,,D0140,4,
C5011,26,,,D0141,3,
C5013,10,,,D0142,0,
C6001,2,,,D0160,8,
C6004,25,,,D0230,14,
C6008,5,,,D0250,0,
C6013,0,,,D0251,6,
C6014,4,,,D0252,5,
C7001,17,,,D0260,10,
C7002,13,,,D0263,7,
C7005,34,,,D0270,3,
D0020,0,,,D0280,6,
D0040,56,,,D0290,4,
D0050,119,,,D0310,8,
D0070,248,,,D1003,1,
D0100,76,,,D2002,2,
D0110,0,,,D2004,4,
D0140,76,,,D3002,1,
D0141,70,,,D3005,2,
D0142,37,,,D3006,1,
D0160,92,,,D3008,2,
D0230,184,,,D3009,3,
D0250,0,,,D3010,3,
D0251,117,,,D4005,3,
D0252,63,,,D4009,1,
D0260,111,,,D4010,1,
D0263,35,,,D5001,7,
D0270,80,,,D5004,3,
D0280,128,,,D5008,1,
D0290,98,,,D6004,1,
D0310,92,,,E0010,0,
D1002,19,,,E0020,71,
D1003,5,,,E0030,53,
D1005,1,,,E0050,16,
D2001,11,,,E0060,69,
D2002,28,,,E0130,33,
D2004,39,,,E0140,29,
D2005,13,,,E0150,26,
D2006,5,,,E0160,20,
D3002,19,,,E0170,70,
D3003,1,,,E0720,30,
D3004,16,,,E0730,101,
D3005,6,,,E1004,6,
D3006,4,,,E1005,19,
D3008,14,,,E1006,3,
D3009,34,,,E2001,2,
D3010,68,,,F0010,14,
D4001,2,,,F0020,27,
D4003,1,,,F0030,19,
D4005,24,,,F0031,9,
D4009,26,,,F0032,6,
D4010,12,,,F0033,1,
D5001,33,,,F0040,7,
D5003,0,,,F0041,0,
D5004,55,,,F0060,17,
D5005,2,,,F0470,0,
D5008,28,,,F0480,12,
D6002,12,,,F0490,48,
D6004,18,,,F0500,11,
E0010,0,,,F0650,0,
E0020,143,,,F0680,28,
E0030,167,,,F0730,14,
E0050,41,,,F1001,1,
E0060,123,,,F1002,0,
E0130,135,,,F1003,4,
E0140,178,,,F2001,3,
E0150,56,,,F2003,1,
E0160,132,,,F2004,2,
E0170,97,,,F2011,5,
E0720,66,,,F4006,16,
E0730,174,,,F4008,7,
E1004,7,,,F5003,0,
E1005,20,,,G0010,3,
E1006,7,,,G0012,2,
E2001,9,,,G0170,2,
E4002,0,,,H0020,9,
E4004,11,,,H0040,23,
F0010,110,,,H0050,9,
F0020,142,,,H0070,7,
F0030,133,,,H0150,20,
F0031,35,,,H0151,4,
F0032,84,,,H0190,4,
F0033,37,,,H0200,3,
F0040,51,,,H0210,12,
F0041,0,,,H0420,39,
F0060,113,,,H0490,29,
F0470,1,,,H0570,5,
F0480,88,,,H0580,2,
F0490,196,,,H0610,42,
F0500,181,,,H0650,7,
F0650,2,,,H0681,13,
F0680,213,,,H1001,8,
F0730,113,,,H1005,1,
F1001,24,,,H1006,3,
F1002,2,,,H1010,16,
F1003,39,,,H1014,2,
F2001,16,,,H1015,3,
F2003,18,,,H1016,0,
F2004,16,,,H1020,5,
F2011,47,,,H1022,4,
F2013,0,,,H1025,9,
F4005,1,,,H1026,1,
F4006,54,,,H1028,4,
F4008,51,,,H1030,4,
F5003,0,,,H1032,7,
F5005,0,,,H1036,3,
F5006,3,,,H1037,3,
G0010,42,,,H1040,4,
G0011,3,,,H1041,15,
G0012,27,,,H1042,1,
G0170,37,,,H1044,10,
G0300,38,,,H1047,1,
H0020,80,,,H1048,6,
H0040,93,,,H1051,25,
H0050,71,,,H1053,5,
H0070,53,,,H1055,3,
H0120,0,,,H1056,1,
H0150,61,,,H1057,4,
H0151,38,,,H1058,1,
H0190,20,,,H1059,16,
H0200,12,,,H1061,8,
H0210,97,,,H1063,5,
H0420,208,,,H1068,6,
H0490,186,,,H1070,4,
H0570,22,,,H1072,3,
H0580,45,,,H1074,3,
H0610,127,,,H1076,20,
H0650,21,,,H1077,4,
H0680,1,,,H1078,2,
H0681,175,,,H1079,5,
H1001,41,,,H1080,2,
H1005,27,,,H2002,9,
H1006,5,,,H2005,5,
H1008,8,,,H2007,0,
H1010,66,,,H2009,1,
H1011,0,,,H2010,5,
H1014,26,,,H2011,0,
H1015,11,,,H2013,7,
H1016,0,,,H2014,1,
H1020,51,,,H2015,5,
H1022,33,,,H2017,14,
H1025,56,,,H2019,11,
H1026,11,,,H2024,0,
H1028,22,,,H2027,4,
H1030,20,,,H2028,7,
H1032,16,,,H2029,1,
H1036,15,,,H2033,1,
H1037,18,,,H2035,5,
H1040,38,,,H2038,1,
H1041,78,,,H2040,1,
H1042,18,,,H2041,4,
H1044,37,,,H2042,3,
H1045,3,,,H2043,4,
H1047,26,,,H2045,8,
H1048,21,,,H2047,1,
H1051,59,,,H2048,5,
H1053,36,,,H2049,2,
H1055,44,,,H2FDP,6,
H1056,1,,,H3001,1,
H1057,20,,,H3005,1,
H1058,6,,,H3006,3,
H1059,37,,,H3007,0,
H1061,56,,,H3008,13,
H1063,32,,,H3011,34,
H1064,3,,,H3014,4,
H1068,45,,,H3015,0,
H1070,24,,,H3016,27,
H1072,31,,,H3019,3,
H1074,15,,,H3020,36,
H1076,94,,,H3021,0,
H1077,55,,,H3022,3,
H1078,15,,,H3024,3,
H1079,33,,,H3025,6,
H1080,18,,,H3640,42,
H1082,14,,,H3930,17,
H2002,18,,,H3940,38,
H2004,11,,,H4001,1,
H2005,24,,,H4002,1,
H2007,0,,,H4003,1,
H2009,1,,,H4004,10,
H2010,55,,,H5003,7,
H2011,0,,,H5004,1,
H2013,18,,,H5006,1,
H2014,0,,,H5009,2,
H2015,53,,,H5012,13,
H2017,32,,,H5013,1,
H2019,56,,,H5015,7,
H2022,10,,,H6004,5,
H2024,0,,,H6005,2,
H2026,13,,,H6009,3,
H2027,19,,,H6010,0,
H2028,30,,,H6011,1,
H2029,14,,,K0010,0,
H2033,11,,,K0011,12,
H2035,46,,,K0030,13,
H2038,24,,,K0040,26,
H2041,31,,,K0050,7,
H2042,11,,,K0070,14,
H2043,21,,,K0080,9,
H2045,39,,,N0020,11,
H2047,9,,,N0021,4,
H2048,19,,,N0040,3,
H2049,10,,,N0041,3,
H2FDP,12,,,N0070,6,
H3001,6,,,N0130,4,
H3005,13,,,N0140,7,
H3006,20,,,N0150,25,
H3007,0,,,N0160,5,
H3008,20,,,N0170,0,
H3011,51,,,N0190,7,
H3014,16,,,N0210,2,
H3015,0,,,N0220,4,
H3016,65,,,N1001,7,
H3019,8,,,N1002,3,
H3020,40,,,N1003,0,
H3021,0,,,N1010,1,
H3022,5,,,N1012,2,
H3024,17,,,N1015,2,
H3025,8,,,N1016,2,
H3640,144,,,N1017,1,
H3930,90,,,N1018,0,
H3940,135,,,N1440,6,
H4001,3,,,N1490,13,
H4002,10,,,N1600,3,
H4003,0,,,N2001,1,
H4004,40,,,N2002,1,
H5003,31,,,N2007,2,
H5004,14,,,N2008,1,
H5006,7,,,N2010,5,
H5009,6,,,N2011,4,
H5011,1,,,N2015,0,
H5012,41,,,N2017,4,
H5013,1,,,N2020,2,
H5014,1,,,N2021,1,
H5015,27,,,N2023,9,
H6003,3,,,N2026,3,
H6004,47,,,N2029,1,
H6005,25,,,N2031,1,
H6009,15,,,N2032,4,
H6010,13,,,N2035,1,
H6011,10,,,N2036,3,
K0010,0,,,N3001,0,
K0011,166,,,N3330,8,
K0030,218,,,Z0020,30,
K0040,139,,,Z0040,44,
K0050,101,,,Z0041,33,
K0070,158,,,Z0042,95,
K0080,62,,,Z0050,14,
N0020,119,,,Z0051,44,
N0021,78,,,Z0070,69,
N0040,29,,,Z0071,0,
N0041,65,,,Z0080,9,
N0070,53,,,Z0090,64,
N0130,67,,,Z0100,18,
N0140,119,,,Z0110,1,
N0150,442,,,Z0130,33,
N0160,56,,,Z0140,48,
N0170,0,,,Z0150,0,
N0190,30,,,Z0160,63,
N0210,90,,,Z0161,30,
N0220,74,,,Z0170,92,
N1001,61,,,Z0190,38,
N1002,25,,,Z0200,18,
N1003,15,,,Z0210,87,
N1004,28,,,Z0230,15,
N1006,1,,,Z0240,16,
N1008,48,,,Z0260,12,
N1010,7,,,Z0310,0,
N1011,5,,,Z0320,8,
N1012,35,,,Z0330,49,
N1015,28,,,Z0360,25,
N1016,21,,,Z0370,24,
N1017,7,,,Z1970,11,
N1018,23,,,Z2100,14,
N1440,53,,,Z2230,11,
N1490,181,,,Z2820,0,
N1600,74,,,Z2870,27,
N2001,13,,,Total Result,"4,269",
N2002,35,,,,,
N2004,20,,,,,
N2006,6,,,,,
N2007,14,,,,,
N2008,11,,,,,
N2010,67,,,,,
N2011,21,,,,,
N2013,12,,,,,
N2015,0,,,,,
N2017,32,,,,,
N2020,7,,,,,
